,1003560,1003561
主/副驾驶座安全气囊,-,-
前/后排侧气囊,-,-
安全带未系提示,-,-
ISOFIX儿童座椅接口,-,-
ABS防抱死,●,●
制动力分配(EBD/CBC等),●,●
刹车辅助(EBA/BAS/BA等),-,-
牵引力控制(ASR/TCS/TRC等),-,-
车身稳定控制(ESC/ESP/DSC等),-,-
前/后驻车雷达,-,-
倒车视频影像,-,-
定速巡航,-,-
电动天窗,-,-
全景天窗,-,-
铝合金轮圈,-,-
发动机电子防盗,-,-
车内中控锁,●,●
遥控钥匙,-,-
皮质方向盘,-,-
方向盘调节,-,-
多功能方向盘,-,-
行车电脑显示屏,-,-
座椅高低调节,-,-
腰部支撑调节,-,-
主/副驾驶座电动调节,-,-
第二排靠背角度调节,-,-
第二排座椅移动,-,-
前/后排座椅加热,-,-
后排座椅放倒方式,-,-
前/后中央扶手,-,-
后排杯架,-,-
GPS导航系统,-,-
中控台彩色大屏,-,-
蓝牙/车载电话,-,-
车载电视,-,-
后排液晶屏,-,-
CD/DVD,-,-
扬声器数量,6-7喇叭,6-7喇叭
LED日间行车灯,-,-
前雾灯,●,●
大灯高度可调,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后视镜电动调节,●,●
后视镜加热,-,-
后风挡遮阳帘,-,-
后排侧遮阳帘,-,-
遮阳板化妆镜,-,-
后雨刷,●,●
空调控制方式,手动●,手动●
后排独立空调,●,●
后座出风口,●,●
温度分区控制,-,-
车型名称,金旅大海狮 2015款 2.4L汽油4RB2,金旅大海狮 2015款 2.7L汽油3TZ
厂商指导价(元),16.80万,18.80万
厂商,厦门金旅,厦门金旅
级别,轻客,轻客
能源类型,汽油,汽油
上市时间,2015.08,2015.08
最大功率(kW)_x,-,-
最大扭矩(N·m)_x,-,-
发动机,2.4L 139马力 L4,2.7L 163马力 L4
变速箱,5挡手动,5挡手动
长*宽*高(mm),5380×1880×2285,5380×1880×2285
车身结构_x,客车,客车
最高车速(km/h),-,-
工信部综合油耗(L/100km),-,-
整车质保,-,-
长度(mm),5380,5380
宽度(mm),1880,1880
高度(mm),2285,2285
轴距(mm),-,-
前轮距(mm),-,-
后轮距(mm),-,-
最小离地间隙(mm),-,-
整备质量(kg),-,-
车身结构_y,客车,客车
车门数(个),4,4
座位数(个),15,15
后排车门开启方式,侧滑门,侧滑门
油箱容积(L),-,-
货箱尺寸(mm),-,-
最大载重质量(kg),-,-
简称,5挡手动,5挡手动
挡位个数,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱
前悬架类型,双横臂独立悬挂,双横臂独立悬挂
后悬架类型,纵置钢板弹簧非独立悬架,纵置钢板弹簧非独立悬架
助力类型,液压助力,液压助力
车体结构,-,-
前制动器类型,未知,未知
后制动器类型,未知,未知
前轮胎规格,未知,未知
后轮胎规格,未知,未知
发动机型号,4RB2,3TZ
排量(mL),2439,2693
进气形式,自然吸气,自然吸气
气缸排列形式,L,L
气缸数(个),4,4
每缸气门数(个),未知,未知
压缩比,-,-
配气机构,未知,未知
缸径(mm),-,-
行程(mm),-,-
最大马力(Ps),139,163
最大功率(kW)_y,102,120
最大功率转速(rpm),5000,4600-5000
最大扭矩(N·m)_y,217,260
最大扭矩转速(rpm),2400-2800,3200
燃料形式,汽油,汽油
燃油标号,92号,92号
供油方式,多点电喷,多点电喷
缸盖材料,未知,未知
缸体材料,未知,未知
环保标准,国IV,国IV
电机类型,-,-
电动机总功率(kW),-,-
电动机总扭矩(N·m),-,-
前电动机最大功率(kW),-,-
前电动机最大扭矩(N·m),-,-
后电动机最大功率(kW),-,-
后电动机最大扭矩(N·m),-,-
驱动电机数,-,-
电机布局,-,-
电池类型,-,-
工信部续航里程(km),-,-
电池容量(kWh),-,-
百公里耗电量(kWh/100km),-,-
电池组质保,-,-
电池充电时间,-,-
快充电量(%),-,-
