Feature,1003795,1003796,1003797,1006465,1006466,1006467
高度(mm),2320,2320,2285,2320,2320,2320
驾驶辅助影像,,,,,,
驱动电机数,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,后置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-
长度(mm),5990,5990,5990,5990,5990,5990
长*宽*高(mm),5990×1880×2320,5990×1880×2320,5990×1880×2285,5990×1880×2320,5990×1880×2320,5990×1880×2320
钥匙类型,,,,,,
配气机构,未知,未知,-,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-
远光灯光源,,,,,,
进气形式,涡轮增压,自然吸气,-,自然吸气,涡轮增压,涡轮增压
近光灯光源,,,,,,
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
轴距(mm),3720,3720,3720,3720,3720,3720
轮圈材质,,,,,,
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4
车载电视,-,-,●,-,-,-
车载冰箱,○,○,○,-,-,-
车载CD/DVD,,,,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车型名称,九龙A6 2015款 2.8T豪华型JE4D28A,九龙A6 2015款 2.7L豪华型3TZ,九龙A6 2015款 纯电动,九龙A6 2018款 2.7L豪华型,九龙A6 2018款 2.0T豪华型,九龙A6 2018款 3.0T豪华型
车前雾灯,,,,,,
车内环境氛围灯,-,-,-,-,-,-
车内化妆镜,-,-,-,,,
车内中控锁,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
蓝牙/车载电话,-,-,●,●,●,●
自适应远近光,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
能源类型,柴油,汽油,纯电动,汽油,汽油,柴油
胎压监测功能,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-
缸盖材料,未知,未知,-,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-
缸体材料,未知,未知,-,铸铁,铸铁,铸铁
级别,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,电动车单速变速箱,5挡手动,6挡手动,6挡手动
第二排座椅调节,,,,,,
第二排座椅电动调节,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-
空调温度控制方式,,,,,,
空气悬架,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-
电池组质保,-,-,-,-,-,-
电池类型,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-
电机类型,-,-,-,-,-,-
电机布局,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,400,-,-,-
电动机总功率(kW),-,-,70,-,-,-
电动机(Ps),-,-,95,-,-,-
电动座椅记忆功能,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
环保标准_y,国IV,国IV,-,国IV,国IV,国V
环保标准_x,国IV,国IV,-,国IV,国IV,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-
燃油标号,0号,92号,-,92号,92号,0号
燃料形式,柴油,汽油,纯电动,汽油,汽油,柴油
温度分区控制,●,●,●,-,-,-
油箱容积(L),70,70,-,70,70,70
气缸数(个),4,4,-,4,4,4
气缸排列形式,L,L,-,L,L,L
每缸气门数(个),未知,未知,-,4,4,4
最高车速(km/h),130,130,100,-,-,-
最小离地间隙(mm),-,-,-,-,-,-
最大马力(Ps),140,163,95,163,190,150
最大载重质量(kg),-,-,-,-,-,-
最大满载质量(kg),-,-,-,-,-,-
最大扭矩转速(rpm),1600,-,-,2600-3600,1800-4000,1600-2400
最大扭矩(N·m)_y,360,-,400,260,290,330
最大扭矩(N·m)_x,360,-,400,260,290,330
最大功率转速(rpm),3200,4600-5000,-,4600-5000,5000,3400
最大功率(kW)_y,103,120,70,120,140,110
最大功率(kW)_x,103,120,70,120,140,110
无钥匙进入功能,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-
方向盘材质,,,,,,
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
方向盘位置调节,,,,,,
整车质保,两年或5万公里,两年或5万公里,两年或5万公里,-,-,-
整备质量(kg)_y,-,-,-,-,-,-
整备质量(kg)_x,3980,3980,2995,-,-,-
排量(mL),2776,2693,-,2693,1997,2982
挡位个数,5,5,1,5,6,6
扬声器数量,,,,,,
扬声器品牌名称,-,-,-,-,-,-
慢充时间(小时),-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-
快充电量百分比,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-
快充时间(小时),-,-,-,-,-,-
座椅材质,,,,,,
座位数(个),10-18,10-18,10-17,10-18,10-18,10-18
并线辅助,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-
工信部纯电续航里程(km),-,-,-,-,-,-
巡航系统,-,-,-,-,-,-
宽度(mm),1880,1880,1880,1880,1880,1880
安全带未系提醒,-,-,-,,,
天窗类型,-,-,-,-,-,-
大灯高度可调,-,-,-,-,-,-
大灯清洗装置,-,-,-,-,-,-
多媒体/充电接口,-,-,-,,,
多功能方向盘,-,-,-,-,-,-
外后视镜功能,,,,,,
后风挡遮阳帘,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●
后轮距(mm),1650,1650,1650,-,-,-
后轮胎规格,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16
后电动机最大扭矩(N·m),-,-,400,-,-,-
后电动机最大功率(kW),-,-,70,-,-,-
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,●,●,●,-,-,-
后排杯架,-,-,-,-,-,-
后排座椅放倒形式,,,,-,-,-
后排侧隐私玻璃,●,●,●,○,○,○
后排侧窗遮阳帘,-,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,●,●,●,●,●,●
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),固定齿比变速箱,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,电动车单速变速箱,5挡手动,6挡手动,6挡手动
发动机电子防盗,-,-,-,-,-,-
发动机型号,JE4D28A,3TZ,-,-,-,-
发动机启停技术,-,-,-,-,-,-
发动机,2.8T 140马力 L4,2.7L 163马力 L4,纯电动 95马力,2.7L 163马力 L4,2.0T 190马力 L4,3.0T 150马力 L4
压缩比,-,-,-,-,-,-
厂商指导价(元),19.88万~24.88万,19.98万~25.98万,9.98万~16.98万,23.28万,22.98万,27.28万
厂商,九龙汽车,九龙汽车,九龙汽车,九龙汽车,九龙汽车,九龙汽车
卫星导航系统,○,○,●,●,●,●
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
副座椅调节方式,,,,,,
前轮距(mm),1655,1655,1655,-,-,-
前轮胎规格,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16
前电动机最大扭矩(N·m),-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-
前排座椅功能,-,-,-,-,-,-
前悬架类型,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-
前/后中央扶手,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●
准拖挂车总质量(kg),-,-,-,-,-,-
内后视镜功能,,,,,,
全液晶仪表盘,-,-,-,-,-,-
侧滑门形式,,,,,,
供油方式,直喷,多点电喷,-,多点电喷,多点电喷,直喷
主座椅调节方式,,,,,,
主/副驾驶座电动调节,-,-,-,-,-,-
主/副驾驶座安全气囊,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,-,-,-
中控彩色屏幕,,,,,,
上市时间,2015.12,2015.12,2015.12,2018.05,2018.05,2018.05
上坡辅助,-,-,-,-,-,-
LED日间行车灯,-,-,-,●,●,●
ISOFIX儿童座椅接口,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,●
220V/230V电源,-,-,-,-,-,-
