Feature,1007487,1007488,1007489,1007490,1007491,1007492,1007493,1007494,1007495,1007498,1007499,1007500,1007501,1007502,1007505,1007506,1007507,1007508,1007509,1007510,1007511,1007512,1007513,1007516,1007517,1007518,1007519
高度(mm),2525,2740,2545,2520,2735,2535,2535,2365,2535,2535,2755,2555,2555,2555,2525,2740,2545,2520,2735,2535,2535,2365,2535,2535,2755,2555,2555
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置前驱,前置前驱,前置前驱,前置后驱,前置后驱,前置后驱,前置前驱,前置前驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置前驱,前置前驱,前置前驱,前置后驱,前置后驱,前置后驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5940,5940,5546,5940,5940,5546,5546,5180,5180,5940,5940,5546,5180,5546,5940,5940,5546,5940,5940,5546,5546,5180,5180,5940,5940,5546,5180
长*宽*高(mm),5940×2110×2525,5940×2110×2740,5546×2062×2545,5940×2062×2520,5940×2062×2735,5546×2062×2535,5546×2062×2535,5180×2062×2365,5180×2062×2535,5940×2110×2535,5940×2110×2755,5546×2062×2555,5180×2062×2555,5546×2062×2555,5940×2110×2525,5940×2110×2740,5546×2062×2545,5940×2062×2520,5940×2062×2735,5546×2062×2535,5546×2062×2535,5180×2062×2365,5180×2062×2535,5940×2110×2535,5940×2110×2755,5546×2062×2555,5180×2062×2555
铝合金轮圈,-,-,●,●,●,●,●,●,●,-,-,○,○,○,-,-,●,●,●,●,●,●,●,-,-,○,○
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED)
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素(选装LED)
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3760,3760,3366,3760,3760,3366,3366,3000,3000,3760,3760,3366,3000,3366,3760,3760,3366,3760,3760,3366,3366,3000,3000,3760,3760,3366,3000
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,上汽MAXUS V90 2019款 2.0T 手动智达后驱双胎加长轴高顶15座,上汽MAXUS V90 2019款 2.0T 手动智达后驱双胎加长轴超高顶15座,上汽MAXUS V90 2019款 2.0T 手动智达后驱单胎长轴高顶12座,上汽MAXUS V90 2019款 2.0T 手动智多星后驱单胎加长轴高顶7座,上汽MAXUS V90 2019款 2.0T 手动智多星后驱单胎加长轴超高顶7座,上汽MAXUS V90 2019款 2.0T 手动智多星后驱单胎长轴高顶7座,上汽MAXUS V90 2019款 2.0T 手动智多星前驱单胎长轴高顶7座,上汽MAXUS V90 2019款 2.0T 手动智多星前驱单胎短轴中顶6座,上汽MAXUS V90 2019款 2.0T 手动智多星前驱单胎短轴高顶6座,上汽MAXUS V90 2019款 2.0T 手动VAN后驱双胎加长轴高顶3座,上汽MAXUS V90 2019款 2.0T 手动VAN后驱双胎加长轴超高顶3座,上汽MAXUS V90 2019款 2.0T 手动VAN后驱单胎长轴高顶3座,上汽MAXUS V90 2019款 2.0T 手动VAN前驱单胎短轴高顶3座,上汽MAXUS V90 2019款 2.0T 手动VAN前驱单胎长轴高顶3座,上汽MAXUS V90 2019款 2.0T 自动智达后驱双胎加长轴高顶15座,上汽MAXUS V90 2019款 2.0T 自动智达后驱双胎加长轴超高顶15座,上汽MAXUS V90 2019款 2.0T 自动智达后驱单胎长轴高顶12座,上汽MAXUS V90 2019款 2.0T 自动智多星后驱单胎加长轴高顶7座,上汽MAXUS V90 2019款 2.0T 自动智多星后驱单胎加长轴超高顶7座,上汽MAXUS V90 2019款 2.0T 自动智多星后驱单胎长轴高顶7座,上汽MAXUS V90 2019款 2.0T AMT智多星前驱单胎长轴高顶7座,上汽MAXUS V90 2019款 2.0T AMT智多星前驱单胎短轴中顶6座,上汽MAXUS V90 2019款 2.0T AMT智多星前驱单胎短轴高顶6座,上汽MAXUS V90 2019款 2.0T 自动VAN后驱双胎加长轴高顶3座,上汽MAXUS V90 2019款 2.0T 自动VAN后驱双胎加长轴超高顶3座,上汽MAXUS V90 2019款 2.0T 自动VAN后驱单胎长轴高顶3座,上汽MAXUS V90 2019款 2.0T AMT VAN前驱单胎短轴高顶3座
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
