,33156,33157,33158,33159,33160,33161,33162,33163
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
膝部气囊,-,-,-,-,-,-,-,-
胎压监测装置,-,-,●,●,●,●,●,●
零胎压继续行驶,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
并线辅助,-,-,-,-,-,-,-,●
车道偏离预警系统,-,-,-,-,-,●,-,●
主动刹车/主动安全系统,-,-,-,-,-,●,-,●
夜视系统,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
倒车视频影像,-,-,●,●,●,●,●,●
全景摄像头,-,-,-,-,-,-,-,-
定速巡航,-,-,●,●,●,●,●,●
自适应巡航,-,-,-,-,-,●,-,●
自动泊车入位,-,-,-,-,-,●,-,●
发动机启停技术,●,●,●,●,●,●,●,●
上坡辅助,●,●,●,●,●,●,●,●
自动驻车,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-
电动天窗,●,●,●,●,●,●,●,●
全景天窗,-,-,-,-,●,●,-,-
多天窗,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
