Feature,1003455,1003456,1004631,1004632,1004633,1004634
高度(mm),1840,1910,2470,2470,2370,2370
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-
长度(mm),4810,4930,4810,4930,4810,4930
长*宽*高(mm),4810×1755×1840,4930×1755×1910,4810×1755×2470,4930×1755×2470,4810×1755×2370,4930×1755×2370
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
轴距(mm),3050,3250,3050,3050,3050,3050
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-
车门数(个),2,4,2,4,2,2
车载电视,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车型名称,小金牛 2015款 1.0L标准型单排XC4F18-T,小金牛 2015款 1.0L标准型双排XC4F18-T,小金牛 2015款 1.0L标准型厢式车单排XC4F18-T,小金牛 2015款 1.0L标准型厢式车双排XC4F18-T,小金牛 2015款 1.0L标准型仓栏车单排XC4F18-T,小金牛 2015款 1.0L标准型仓栏车双排XC4F18-T
车内中控锁,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2900*1620*370/600,2200*1620*370/600,2900x1620x1650,2200x1620x1650,2900x1620x370,2200x1620x370
行程(mm),-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-,-,-
缸盖材料,铝,铝,铝,铝,铝,铝
缸径(mm),-,-,-,-,-,-
缸体材料,铁,铁,铁,铁,铁,铁
级别,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
空气悬架,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
环保标准_y,国IV,国IV,国IV,国IV,国IV,国IV
环保标准_x,国IV,国IV,国IV,国IV,国IV,国IV
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知
最高车速(km/h),110,110,110,110,110,110
最小离地间隙(mm),-,-,-,-,-,-
最大马力(Ps),61,61,61,61,61,61
最大载重质量(kg),940,750,750,440,750,440
最大扭矩转速(rpm),-,-,-,-,-,-
最大扭矩(N·m)_y,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-
最大功率转速(rpm),-,-,-,-,-,-
最大功率(kW)_y,45,45,45,45,45,45
最大功率(kW)_x,45,45,45,45,45,45
无钥匙启动系统,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
整车质保,-,-,-,-,-,-
整备质量(kg),990,1035,1100,1145,1040,1135
排量(mL),997,997,997,997,997,997
挡位个数,5,5,5,5,5,5
感应后备厢,-,-,-,-,-,-
座位数(个),2,5,2,5,2,5
并线辅助,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-
宽度(mm),1755,1755,1755,1755,1755,1755
大灯高度可调,-,-,-,-,-,-
大灯清洗装置,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-
后轮距(mm),1420,1420,1420,1420,1420,1420
后轮胎规格,165/70 R14LT,165/70 R14LT,165/70 R14LT,165/70 R14LT,165/70 R14LT,165/70 R14LT
后排车门开启方式,-,平开门,-,平开门,-,平开门
后排独立空调,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
后座出风口,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-
发动机型号,XC4F18-T,XC4F18-T,XC4F18-T,XC4F18-T,XC4F18-T,XC4F18-T
发动机启停技术,-,-,-,-,-,-
发动机,1.0L 61马力 L4,1.0L 61马力 L4,1.0L 61马力 L4,1.0L 61马力 L4,1.0L 61马力 L4,1.0L 61马力 L4
压缩比,-,-,-,-,-,-
厂商指导价(元),3.28万~3.38万,3.48万~3.58万,3.28万~3.38万,3.48万~3.58万,3.28万~3.38万,3.48万~3.58万
厂商,绵阳金杯,绵阳金杯,绵阳金杯,绵阳金杯,绵阳金杯,绵阳金杯
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
前轮距(mm),1430,1430,1430,1430,1430,1430
前轮胎规格,165/70 R14LT,165/70 R14LT,165/70 R14LT,165/70 R14LT,165/70 R14LT,165/70 R14LT
前悬架类型,未知,未知,未知,未知,未知,未知
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,-,-,-,-,-,-
前/后电动车窗,-,-,-,-,-,-
前/后排头部气囊(气帘),-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-
制动力分配(EBD/CBC等),-,-,-,-,-,-
供油方式,直喷,直喷,直喷,直喷,直喷,直喷
主/副驾驶座电动调节,-,-,-,-,-,-
主/副驾驶座安全气囊,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-
上市时间,2015.06,2015.06,2016.09,2016.09,2016.09,2016.09
上坡辅助,-,-,-,-,-,-
LED日间行车灯,-,-,-,-,-,-
ISOFIX儿童座椅接口,-,-,-,-,-,-
GPS导航系统,-,-,-,-,-,-
ABS防抱死,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-
