,30032,30033
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
膝部气囊,-,-
胎压监测装置,●,●
零胎压继续行驶,-,-
安全带未系提示,●,●
ISOFIX儿童座椅接口,●,●
ABS防抱死,●,●
制动力分配(EBD/CBC等),●,●
刹车辅助(EBA/BAS/BA等),●,●
牵引力控制(ASR/TCS/TRC等),●,●
车身稳定控制(ESC/ESP/DSC等),●,●
并线辅助,●,●
车道偏离预警系统,-,-
主动刹车/主动安全系统,-,-
夜视系统,-,-
疲劳驾驶提示,●,●
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
倒车视频影像,●,●
全景摄像头,-,-
定速巡航,-,-
自适应巡航,-,-
自动泊车入位,-,-
上坡辅助,●,●
自动驻车,-,-
陡坡缓降,-,-
可变悬架,-,-
空气悬架,-,-
电磁感应悬架,-,-
可变转向比,-,-
电动天窗,●,●
全景天窗,-,-
多天窗,-,-
运动外观套件,-,-
铝合金轮圈,●,●
电动吸合门,-,-
侧滑门,-,-
电动后备厢,-,-
感应后备厢,-,-
车顶行李架,-,-
车内中控锁,●,●
遥控钥匙,●,●
无钥匙启动系统,●,●
无钥匙进入系统,●,●
远程启动,-,-
皮质方向盘,●,●
方向盘调节,上下+前后调节,上下+前后调节
方向盘电动调节,-,-
多功能方向盘,●,●
方向盘换挡,-,-
方向盘加热,-,-
方向盘记忆,-,-
行车电脑显示屏,●,●
全液晶仪表盘,●,●
HUD抬头数字显示,-,-
内置行车记录仪,-,-
主动降噪,-,-
手机无线充电,-,-
座椅材质,仿皮,仿皮
运动风格座椅,-,-
座椅高低调节,●,●
腰部支撑调节,●,●
肩部支撑调节,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,-,-
第二排座椅移动,-,-
后排座椅电动调节,-,-
副驾驶位后排可调节按钮,-,-
电动座椅记忆,●,●
前/后排座椅加热,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅按摩,-,-
第二排独立座椅,-,-
第三排座椅,-,-
后排座椅放倒方式,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●
可加热/制冷杯架,-,-
GPS导航系统,●,●
道路救援呼叫,-,-
中控台彩色大屏,●,●
中控台彩色大屏尺寸,10英寸,10英寸
中控液晶屏分屏显示,-,-
蓝牙/车载电话,●,●
手机互联/映射,-,-
车联网,●,●
车载电视,-,-
后排液晶屏,-,●
220V/230V电源,-,-
外接音源接口,USB+AUX,USB+AUX
CD/DVD,-,-
扬声器品牌,BOSE,BOSE
扬声器数量,≥12喇叭,≥12喇叭
近光灯,氙气,氙气
远光灯,氙气,氙气
LED日间行车灯,●,●
自适应远近光,-,-
自动头灯,●,●
转向辅助灯,-,-
转向头灯,-,-
前雾灯,●,●
大灯高度可调,●,●
大灯清洗装置,●,●
车内氛围灯,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车
车窗防夹手功能,●,●
防紫外线/隔热玻璃,●,●
后视镜电动调节,●,●
后视镜加热,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
后视镜电动折叠,●,●
后视镜记忆,●,●
后风挡遮阳帘,●,●
后排侧遮阳帘,-,-
后排侧隐私玻璃,-,-
遮阳板化妆镜,●,●
后雨刷,-,-
感应雨刷,●,●
空调控制方式,自动●,自动●
后排独立空调,-,-
后座出风口,●,●
温度分区控制,-,-
车内空气调节/花粉过滤,●,●
车载空气净化器,-,-
车载冰箱,-,-
车型名称,EH系列 2017款 EH300 行政版,EH系列 2017款 EH300 尊享版
厂商指导价(元),34.58万,35.58万
厂商,北汽新能源,北汽新能源
级别,中大型车,中大型车
能源类型,纯电动,纯电动
上市时间,2017.04,2017.04
工信部纯电续驶里程(km),300,300
快充时间(小时)_x,0.75,0.75
慢充时间(小时)_x,10,10
快充电量百分比,-,-
最大功率(kW),100,100
最大扭矩(N·m),-,-
长*宽*高(mm),4946*1860*1483,4946*1860*1483
车身结构_x,4门4座三厢车,4门4座三厢车
最高车速(km/h),140,140
官方0-100km/h加速(s),-,-
实测0-100km/h加速(s),-,-
实测100-0km/h制动(m),-,-
实测续航里程(km),-,-
整车质保,三年或12万公里,三年或12万公里
长度(mm),4946,4946
宽度(mm),1860,1860
高度(mm),1483,1483
轴距(mm),2830,2830
前轮距(mm),1562,1562
后轮距(mm),1578,1578
最小离地间隙(mm),-,-
车身结构_y,三厢车,三厢车
车门数(个),4,4
座位数(个),4,4
油箱容积(L),-,-
行李厢容积(L),-,-
整备质量(kg),-,-
电机类型,-,-
电动机总功率(kW),100,100
电动机总扭矩(N·m),-,-
前电动机最大功率(kW),100,100
前电动机最大扭矩(N·m),-,-
后电动机最大功率(kW),-,-
后电动机最大扭矩(N·m),-,-
系统综合功率(kW),-,-
系统综合扭矩(N·m),-,-
驱动电机数,单电机,单电机
电机布局,前置,前置
电池类型,-,-
工信部续航里程(km),300,300
电池容量(kWh),54.6,54.6
百公里耗电量(kWh/100km),-,-
电池组质保,待查,待查
快充时间(小时)_y,0.75,0.75
慢充时间(小时)_y,10,10
快充电量(%),-,-
挡位个数,1,1
变速箱类型,固定齿比变速箱,固定齿比变速箱
简称,电动车单速变速箱,电动车单速变速箱
驱动方式,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力
车体结构,承载式,承载式
前制动器类型,通风盘式,通风盘式
后制动器类型,盘式,盘式
驻车制动类型,手刹,手刹
前轮胎规格,235/45 R18,235/45 R18
后轮胎规格,235/45 R18,235/45 R18
备胎规格,无,无
