,1002752,1002753,1002754
主/副驾驶座安全气囊,-,-,-
前/后排侧气囊,-,-,-
前/后排头部气囊(气帘),-,-,-
胎压监测装置,-,-,-
安全带未系提示,-,-,-
ISOFIX儿童座椅接口,-,-,-
ABS防抱死,-,-,-
制动力分配(EBD/CBC等),-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-
车身稳定控制(ESC/ESP/DSC等),-,-,-
前/后驻车雷达,-,-,-
倒车视频影像,-,-,-
定速巡航,-,-,-
电动天窗,-,-,-
全景天窗,-,-,-
铝合金轮圈,●,●,●
电动吸合门,-,-,-
侧滑门,-,-,-
电动后备厢,-,-,-
车顶行李架,-,-,-
发动机电子防盗,-,-,-
车内中控锁,●,●,●
遥控钥匙,●,●,●
无钥匙启动系统,-,-,-
无钥匙进入系统,-,-,-
皮质方向盘,-,-,-
方向盘调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-
多功能方向盘,-,-,-
行车电脑显示屏,-,-,-
座椅材质,织物,织物,织物
座椅高低调节,-,-,-
腰部支撑调节,-,-,-
主/副驾驶座电动调节,-,-,-
第二排靠背角度调节,-,-,-
第二排座椅移动,-,-,-
后排座椅电动调节,-,-,-
前/后排座椅加热,-,-,-
第三排座椅,-,-,-
后排座椅放倒方式,整体放倒,整体放倒,整体放倒
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,-,-
GPS导航系统,-,-,-
中控台彩色大屏,-,-,-
车载电视,-,-,-
后排液晶屏,-,-,-
220V/230V电源,-,-,-
外接音源接口,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽
CD/DVD,-,-,-
扬声器品牌,-,-,-
扬声器数量,2-3喇叭,2-3喇叭,2-3喇叭
近光灯,卤素,卤素,卤素
远光灯,卤素,卤素,卤素
LED日间行车灯,-,-,-
前雾灯,●,●,●
大灯高度可调,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗防夹手功能,-,-,-
防紫外线/隔热玻璃,-,-,-
后视镜电动调节,●,●,●
后视镜加热,-,-,-
后风挡遮阳帘,-,-,-
后排侧遮阳帘,-,-,-
遮阳板化妆镜,-,-,-
后雨刷,-,-,-
空调控制方式,手动●,手动●,手动●
后排独立空调,-,-,-
后座出风口,-,-,-
温度分区控制,-,-,-
车载冰箱,-,-,-
车型名称,坤程 2013款 2.2L标准型,坤程 2013款 2.2L精英型,坤程 2013款 2.2L豪华型
厂商指导价(元),6.38万,6.48万,6.58万
厂商,一汽通用,一汽通用,一汽通用
级别,皮卡,皮卡,皮卡
能源类型,汽油,汽油,汽油
上市时间,2014.08,2014.08,2014.08
最大功率(kW)_x,-,-,-
最大扭矩(N·m)_x,-,-,-
发动机,2.2L 103马力 L4,2.2L 103马力 L4,2.2L 103马力 L4
变速箱,5挡手动,5挡手动,5挡手动
长*宽*高(mm),5420×1740×1720,5420×1740×1720,5420×1740×1720
车身结构_x,皮卡,皮卡,皮卡
最高车速(km/h),-,-,-
工信部综合油耗(L/100km),-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),5420,5420,5420
宽度(mm),1740,1740,1740
高度(mm),1720,1720,1720
轴距(mm),3380,3380,3380
前轮距(mm),-,-,-
后轮距(mm),-,-,-
最小离地间隙(mm),-,-,-
整备质量(kg),-,-,-
车身结构_y,皮卡,皮卡,皮卡
车门数(个),4,4,4
座位数(个),5,5,5
后排车门开启方式,平开门,平开门,平开门
油箱容积(L),-,-,-
货箱尺寸(mm),1730x1465x480,1730x1465x480,1730x1465x480
最大载重质量(kg),-,-,-
简称,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置后驱,前置后驱,前置后驱
前悬架类型,双横臂扭杆式独立悬挂,双横臂扭杆式独立悬挂,双横臂扭杆式独立悬挂
后悬架类型,纵置板簧式非独立悬挂,纵置板簧式非独立悬挂,纵置板簧式非独立悬挂
助力类型,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式
前轮胎规格,215/75 R15,235/75 R15,235/75 R15
后轮胎规格,215/75 R15,235/75 R15,235/75 R15
发动机型号,4G22B,4G22B,4G22B
排量(mL),-,-,-
进气形式,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L
气缸数(个),4,4,4
每缸气门数(个),未知,未知,未知
压缩比,-,-,-
配气机构,未知,未知,未知
缸径(mm),-,-,-
行程(mm),-,-,-
最大马力(Ps),103,103,103
最大功率(kW)_y,76,76,76
最大功率转速(rpm),-,-,-
最大扭矩(N·m)_y,193,193,193
最大扭矩转速(rpm),-,-,-
燃料形式,汽油,汽油,汽油
燃油标号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷
缸盖材料,未知,未知,未知
缸体材料,未知,未知,未知
环保标准,国III,国III,国III
电机类型,-,-,-
电动机总功率(kW),-,-,-
电动机总扭矩(N·m),-,-,-
前电动机最大功率(kW),-,-,-
前电动机最大扭矩(N·m),-,-,-
后电动机最大功率(kW),-,-,-
后电动机最大扭矩(N·m),-,-,-
驱动电机数,-,-,-
电机布局,-,-,-
电池类型,-,-,-
工信部续航里程(km),-,-,-
电池容量(kWh),-,-,-
百公里耗电量(kWh/100km),-,-,-
电池组质保,-,-,-
电池充电时间,-,-,-
快充电量(%),-,-,-
