Feature,1000440,1000441
高度(mm),1840,1870
驱动方式,中置后驱,中置后驱
防紫外线玻璃,-,-
长度(mm),3998,4685
长*宽*高(mm),3998×1475×1840,4685×1518×1870
铝合金轮圈,-,-
配气机构,未知,未知
遮阳板化妆镜,-,-
遥控钥匙,-,-
远光灯,卤素,卤素
进气形式,自然吸气,自然吸气
近光灯,卤素,卤素
轴距(mm),-,-
车顶行李架,-,-
车门数(个),4,4
车载电视,-,-
车载冰箱,-,-
车身结构_y,货车,货车
车身结构_x,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-
车窗防夹手功能,-,-
车型名称,佳宝T50 2011款 1.1L标准型,佳宝T50 2011款 1.0L加长型
车内中控锁,-,-
车体结构,非承载式,非承载式
货箱尺寸(mm),1450x1358x420,2000x1400x340
行车电脑显示屏,-,-
行程(mm),-,-
腰部支撑调节,-,-
能源类型,汽油,汽油
胎压监测装置,-,-
缸盖材料,未知,未知
缸径(mm),-,-
缸体材料,未知,未知
级别,微卡,微卡
简称,5挡手动,5挡手动
第二排靠背角度调节,-,-
第二排座椅移动,-,-
第三排座椅,-,-
空调控制方式,手动○,手动○
皮质方向盘,-,-
电动天窗,-,-
电动吸合门,-,-
电动后备厢,-,-
环保标准_y,国IV,国IV
环保标准_x,国IV,国IV
牵引力控制(ASR/TCS/TRC等),-,-
燃油标号,92号,92号
燃料形式,汽油,汽油
温度分区控制,-,-
油箱容积(L),-,-
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),未知,未知
最高车速(km/h),105,105
最小离地间隙(mm),-,-
最大马力(Ps),53,58
最大载重质量(kg),500,490
最大扭矩转速(rpm),-,3000-4000
最大扭矩(N·m)_y,-,84
最大扭矩(N·m)_x,-,84
最大功率转速(rpm),-,5500
最大功率(kW)_y,39,43
最大功率(kW)_x,39,43
无钥匙进入系统,-,-
无钥匙启动系统,-,-
方向盘调节,-,-
方向盘电动调节,-,-
整车质保,三年或6万公里,三年或6万公里
整备质量(kg),970,1000
排量(mL),1051,970
挡位个数,5,5
扬声器品牌,-,-
扬声器个数,2-3喇叭,2-3喇叭
座椅高低调节,-,-
座椅材料,织物,织物
座位数(个),5,5
工信部综合油耗(L/100km),-,-
宽度(mm),1475,1518
定速巡航,-,-
安全带未系提示,-,-
大灯高度可调,-,-
多功能方向盘,-,-
外接音源接口,USB,USB
后风挡遮阳帘,-,-
后雨刷,-,-
后轮距(mm),-,-
后轮胎规格,165/70 R13,165/70 R13
后视镜电动调节,-,-
后视镜加热,-,-
后排车门开启方式,平开门,平开门
后排独立空调,-,-
后排液晶屏,-,-
后排杯架,-,-
后排座椅电动调节,-,-
后排座椅放倒方式,-,-
后排侧遮阳帘,-,-
后悬架类型,未知,未知
后座出风口,-,-
后制动器类型,鼓式,鼓式
变速箱类型,手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动
发动机电子防盗,-,-
发动机型号,-,-
发动机,1.1L 53马力 L4,1.0L 58马力 L4
压缩比,-,-
厂商指导价(元),3.29万,3.45万
厂商,一汽吉林,一汽吉林
助力类型,无助力,无助力
前雾灯,-,-
前轮距(mm),-,-
前轮胎规格,165/70 R13,165/70 R13
前悬架类型,未知,未知
前制动器类型,盘式,盘式
前/后驻车雷达,-,-
前/后电动车窗,-,-
前/后排座椅加热,-,-
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),-,-
全景天窗,-,-
倒车视频影像,-,-
侧滑门,-,-
供油方式,多点电喷,多点电喷
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,-,-
中控台彩色大屏,-,-
上市时间,2011.11,2011.11
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
GPS导航系统,-,-
CD/DVD,-,-
ABS防抱死,-,-
220V/230V电源,-,-
