Feature,45827,48810,48811
高度(mm),1710,1710,1710
驾驶辅助影像,,-,
驾驶模式切换,,,
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-
长度(mm),4505,4505,4505
长*宽*高(mm),4505*1855*1710,4505*1855*1710,4505*1855*1710
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
透明底盘/540度影像,●,-,-
远程启动功能,,-,
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
轴距(mm),2675,2675,2675
轮圈材质,,,
车顶行李架,●,●,●
车门数(个),5,5,5
车门开启方式,平开门,平开门,平开门
车道偏离预警系统,●,-,-
车道保持辅助系统,-,-,-
车载空气净化器,●,-,●
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,-,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,北京BJ30 2021款 1.5T 狼小野版,北京BJ30 2021款 1.5T 狼小美版,北京BJ30 2021款 1.5T 狼小奔版
车前雾灯,,,
车内环境氛围灯,,-,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,-,●
车体结构,承载式,承载式,承载式
负离子发生器,●,-,●
语音识别控制系统,,-,
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,-,-,-
自动驻车,●,●,●
自动头灯,●,-,●
能源类型,汽油,汽油,汽油
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金
纵向通过角(°),20,20,20
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,6挡手自一体,6挡手自一体,6挡手自一体
第二排座椅调节,-,-,-
空载最小离地间隙(mm),215,215,215
空调温度控制方式,,,
离去角(°),26,26,26
疲劳驾驶提示,-,-,-
电动座椅记忆功能,,-,-
电动后备厢位置记忆,●,-,-
电动后备厢,●,-,-
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,92号,92号,92号
燃料形式,汽油,汽油,汽油
温度分区控制,●,-,●
液晶仪表尺寸,,-,
油箱容积(L),60,60,60
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最高车速(km/h),170,170,170
最大马力(Ps),156,156,156
最大爬坡角度(°),19.3,19.3,19.3
最大爬坡度(%),35,35,35
最大满载质量(kg),1970,1970,1970
最大扭矩转速(rpm),1750-4600,1750-4600,1750-4600
最大扭矩(N·m)_y,230,230,230
最大扭矩(N·m)_x,230,230,230
最大功率转速(rpm),5000,5000,5000
最大功率(kW)_y,115,115,115
最大功率(kW)_x,115,115,115
最大净功率(kW),106,106,106
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1520,1520,1520
接近角(°),22,22,22
排量(mL),1499,1499,1499
换挡形式,,,
挡位个数,6,6,6
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,-,-,-
手机互联/映射,,,
手机APP远程功能,,-,
感应雨刷功能,,-,
感应后备厢,●,-,-
座椅材质,,,
座位数(个),5,5,5
并线辅助,●,-,-
巡航系统,,-,
导航路况信息显示,-,-,-
宽度(mm),1855,1855,1855
官方0-100km/h加速(s),-,-,-
安全带未系提醒,,,
天窗类型,,,
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸
后雨刷,●,●,●
后轮距(mm),1545,1545,1545
后轮胎规格,225/55 R18,225/55 R18,225/55 R18
后排独立空调,-,-,-
后排杯架,●,-,●
后排座椅放倒形式,,,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●
后备厢容积(L),-,-,-
后制动器类型,盘式,盘式,盘式
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,6挡手自一体,6挡手自一体,6挡手自一体
发动机电子防盗,●,●,●
发动机布局,横置,横置,横置
发动机型号,4J15T,4J15T,4J15T
发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4
厂商指导价(元),12.58万,10.58万,11.58万
厂商,北京越野,北京越野,北京越野
卫星导航系统,●,-,●
助力类型,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-
副座椅调节方式,,,
前轮距(mm),1545,1545,1545
前轮胎规格,225/55 R18,225/55 R18,225/55 R18
前排座椅功能,,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
内后视镜功能,,,
