Feature,58304,62447,62448
高度(mm),1329,1329,1329
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,单电机,单电机
驱动方式,双电机四驱,后置后驱,后置后驱
首任车主质保政策,-,-,-
风阻系数(Cd),0.269,0.269,0.269
陡坡缓降,-,-,-
长度(mm),4535,4535,4535
长*宽*高(mm),4535*1913*1329,4535*1913*1329,4535*1913*1329
钥匙类型,,,
遥控泊车,●,●,●
透明底盘/540度影像,●,●,●
远程启动功能,,,
远光灯光源,,,
近光灯光源,,,
运动风格座椅,●,●,●
辅助驾驶等级,,-,
轴距(mm),2690,2690,2690
轮圈材质,,,
车门数(个),2,2,2
车门开启方式,剪刀门,剪刀门,剪刀门
车道居中保持,●,-,●
车道偏离预警系统,-,-,-
车道保持辅助系统,●,-,●
车载空气净化器,-,-,-
车载智能系统,,,
车身结构_y,软顶敞篷车,软顶敞篷车,软顶敞篷车
车身结构_x,2门2座软顶敞篷车,2门2座软顶敞篷车,2门2座软顶敞篷车
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车机智能芯片,,,
车型名称,MG Cyberster 2023款 520km 传奇四驱版,MG Cyberster 2023款 501km 魅力心动版,MG Cyberster 2023款 580km 超然致远版
车前雾灯,-,-,-
车内环境氛围灯,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
语音识别控制系统,,,
行车电脑显示屏幕,,,
行李厢12V电源接口,●,●,●
蓝牙/车载电话,●,●,●
自适应远近光,●,-,●
自动驻车,●,●,●
自动头灯,●,●,●
能量回收系统,●,●,●
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
缺气保用轮胎,-,-,-
级别,跑车,跑车,跑车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
空调温度控制方式,,,
离去角(°),18,18,18
百公里耗电量(kWh/100km),16.1,14.0,14.3
疲劳驾驶提示,-,-,-
电芯品牌,宁德时代,宁德时代,宁德时代
电能当量燃料消耗量(L/100km),1.82,1.58,1.62
电池预加热,●,●,●
电池能量(kWh),77,64,77
电池组质保,-,-,-
电池类型,三元锂电池,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,后置,后置
电动机总扭矩(N·m),725,475,475
电动机总功率(kW),400,231,250
电动机总功率(Ps),544,314,340
电动机(Ps),544,314,340
电动座椅记忆功能,,,
电动后备厢,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●
温度分区控制,●,●,●
液晶仪表尺寸,,,
模拟声浪,●,●,●
最高车速(km/h),200,193,195
最大满载质量(kg),2210,2075,2110
最大扭矩(N·m),-,-,-
最大功率(kW),400,231,250
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
无框设计车门,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,-,-,-
整备质量(kg),1985,1850,1885
摄像头数量,,,
接近角(°),11,11,11
换挡形式,,,
挡位个数,1,1,1
扬声器数量,,,
扬声器品牌名称,,,
手机无线充电功能,-,-,-
手机互联/映射,-,-,-
手机APP远程功能,,,
慢充时间(小时)_y,-,-,-
慢充时间(小时)_x,-,-,-
感应雨刷功能,,,
快充电量百分比,-,-,-
快充电量(%),-,-,-
快充时间(小时)_y,-,-,-
快充时间(小时)_x,-,-,-
快充功能,支持,支持,支持
座椅材质,,,
座位数(个),2,2,2
并线辅助,●,-,●
巡航系统,,-,
导航路况信息显示,●,●,●
宽度(mm),1913,1913,1913
官方0-100km/h加速(s),3.2,4.9,4.9
安全带未系提醒,,,
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,补胎工具,补胎工具,补胎工具
地图品牌,,,
四驱形式,电动四驱,-,-
后雨刷,-,-,-
后轮距(mm),1629,1629,1629
后轮胎规格,275/35 R20,275/40 R19,275/35 R20
后电动机最大扭矩(N·m),475,475,475
后电动机最大功率(kW),250,231,250
后方碰撞预警,●,-,●
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅放倒形式,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,-,-,-
后备厢容积(L),-,-,-
后制动器类型,通风盘式,通风盘式,通风盘式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),0.00万,0.00万,0.00万
厂商,上汽集团,上汽集团,上汽集团
卫星导航系统,●,●,●
助力类型,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-
副座椅调节方式,,,
前轮距(mm),1616,1616,1616
前轮胎规格,245/40 R20,245/45 R19,245/40 R20
前电动机最大扭矩(N·m),250,-,-
前电动机最大功率(kW),150,-,-
前方碰撞预警,●,-,●
前排座椅功能,,,
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
内置行车记录仪,●,●,●
内后视镜功能,,,
全液晶仪表盘,●,●,●
倒车车侧预警系统,●,-,●
低速行车警告,●,●,●
主座椅调节方式,,,
主动闭合式进气格栅,●,●,●
主动刹车/主动安全系统,●,-,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,
中控屏幕尺寸,,,
中控下屏幕尺寸,,,
中央差速器结构,-,-,-
上市时间,-,-,-
上坡辅助,-,-,-
USB/Type-C接口数量,,,
OTA升级,●,●,●
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,-,-,-
DOW开门预警,●,-,●
CLTC纯电续航里程(km)_y,520,501,580
CLTC纯电续航里程(km)_x,520,501,580
ABS防抱死,●,●,●
4G/5G网络,,,
