Feature,63463,64184
高精地图,○,○
高度(mm),1869,1869
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动电机数,双电机,双电机
驱动方式,双电机四驱,双电机四驱
首任车主质保政策,-,-
陡坡缓降,●,●
防侧翻系统,●,●
长度(mm),5050,5050
长*宽*高(mm),5050*1980*1869,5050*1980*1869
钥匙类型,,
配气机构,DOHC,DOHC
遥控泊车,●,●
道路救援呼叫,●,●
道路交通标识识别,●,●
透明底盘/540度影像,○,○
远程启动功能,,
远程召唤,●,●
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
辅助驾驶芯片,,
辅助驾驶等级,,
轴距(mm),3010,3010
轮圈材质,,
车顶行李架,●,●
车门数(个),5,5
车门开启方式,平开门,平开门
车道居中保持,●,●
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,●,●
车载KTV,●,●
车身结构_y,SUV,SUV
车身结构_x,5门7座SUV,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车机智能芯片,,
车型名称,极石01 2023款 全能7座版,极石01 2023款 尊享6座版
车前雾灯,-,-
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车侧脚踏板,,
车体结构,承载式,承载式
超声波雷达数量,,
负离子发生器,●,●
语音连续识别,●,●
语音识别控制系统,,
语音分区域唤醒识别,,
语音免唤醒词,●,●
记忆泊车,○,○
触摸式阅读灯,●,●
行车电脑显示屏幕,,
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驻车,●,●
自动泊车入位,●,●
自动头灯,●,●
自动变道辅助,●,●
能量回收系统,●,●
能源类型,增程式,增程式
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
纵向通过角(°),19.7,19.7
级别,中大型SUV,中大型SUV
系统综合扭矩(N·m),740,740
系统综合功率(kW),350,350
系统综合功率(Ps),476,476
简称,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,●,●
第二排座椅调节,,
第二排座椅电动调节,●,●
第二排座椅功能,,
第三排座椅调节,,
空调温度控制方式,,
离去角(°),25.1,25.1
百公里耗电量(kWh/100km),-,-
疲劳驾驶提示,○,○
电芯品牌,宁德时代,宁德时代
电池能量(kWh),56.01,56.01
电池组质保,八年或16万公里,八年或16万公里
电池类型,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷
电机类型,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置
电动机总扭矩(N·m),740,740
电动机总功率(kW),350,350
电动机总功率(Ps),476,476
电动机(Ps),476,476
电动座椅记忆功能,,
电动吸合车门,,
电动后备厢,-,-
环境感知显示,●,●
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,95号,95号
燃料形式,增程式,增程式
激光雷达数量,,
满载最小离地间隙(mm),205,205
温度分区控制,●,●
液晶仪表尺寸,,
油箱容积(L),70,70
气缸数(个),4,4
气缸排列形式,L,L
毫米波雷达数量,,
每缸气门数(个),4,4
最高车速(km/h),190,190
最小转弯半径(m),5.98,5.98
最大马力(Ps),152,152
最大爬坡角度(°),45,45
最大满载质量(kg),3189,3189
最大涉水深度(mm),700,700
最大扭矩转速(rpm),-,-
最大扭矩(N·m)_y,-,-
最大扭矩(N·m)_x,-,-
最大功率转速(rpm),-,-
最大功率(kW)_y,112,112
最大功率(kW)_x,350,350
最大净功率(kW),110,110
无钥匙进入功能,,
无钥匙启动系统,●,●
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,●,●
方向盘位置调节,,
整车质保,五年或10万公里,五年或10万公里
整备质量(kg),2660,2580
摄像头数量,,
接近角(°),22.2,22.2
排量(mL),1496,1496
换挡形式,,
挡位个数,1,1
拖挂钩,,
拖挂模式,●,●
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,,
手机互联/映射,,
手机APP远程功能,,
慢充时间(小时)_y,8.6,8.6
慢充时间(小时)_x,8.6,8.6
感应雨刷功能,,
快充电量百分比,0-80,0-80
快充电量(%),0-80,0-80
快充时间(小时)_y,0.48,0.48
快充时间(小时)_x,0.48,0.48
快充功能,支持,支持
快充功率(kW),100,100
座椅材质,,
座椅布局,,
座位数(个),7,6
并线辅助,●,●
巡航系统,,
屏幕防窥,●,●
导航路况信息显示,●,●
对外放电,●,●
宽度(mm),1980,1980
官方0-100km/h加速(s),5.5,5.5
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯延时关闭,●,●
多层隔音玻璃,,
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,补胎工具,补胎工具
地图品牌,,
四驱形式,电动四驱,电动四驱
后雨刷,●,●
后轮距(mm),1701,1701
后轮胎规格,265/50 R20,265/50 R20
后电动机最大扭矩(N·m),400,400
后电动机最大功率(kW),200,200
后方碰撞预警,●,●
后排独立空调,●,●
后排液晶屏幕尺寸,,
后排杯架,●,●
后排座椅放倒形式,,
后排侧隐私玻璃,●,●
后悬架类型,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●
后备厢容积(L),-,-
后制动器类型,通风盘式,通风盘式
可见即可说,●,●
可变悬架功能,,
变速箱类型,固定齿比变速箱,固定齿比变速箱
变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,●,●
发动机布局,横置,横置
发动机型号,B15F,B15F
发动机,1.5T 152马力 L4,1.5T 152马力 L4
厂商指导价(元),34.99万,35.99万
厂商,北京汽车制造厂,北京汽车制造厂
卫星导航系统,●,●
助力类型,电动助力,电动助力
副驾驶位后排可调节按钮,●,●
副座椅调节方式,,
前轮距(mm),1692,1692
前轮胎规格,265/50 R20,265/50 R20
前电动机最大扭矩(N·m),340,340
前电动机最大功率(kW),150,150
前方碰撞预警,●,●
前排座椅功能,,
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架
前制动器类型,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
