Feature,1009364,1009374,1009418,1009419,1009422,1009423,1010320,1010321,1010322,1010323,1011218,1011219,1011220,1011221,1011222,1011223,1011224,1011225,1012178,1012179,1012180,1012181,1015065,1015066,1015067,1015068,1015069,1015070,1015071,1015072,1015073,1015074,1015075,1015076
高度(mm),1815,1815,1860,1860,1860,1860,1815,1815,1815,1815,1860,1860,1860,1860,1860,1860,1860,1860,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1860,1860,1860,1860,1860,1860
驾驶辅助影像,-,-,,,,,-,-,-,-,,,,,,,,,-,-,-,-,-,,-,,-,,-,,-,,-,
驱动方式,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,,,-,-,,,-,-,,,-,-,,,-,-,,,-,-,-,-,,,,,-,-,,,,
长度(mm),5315,5605,5315,5605,5315,5605,5315,5605,5315,5605,5345,5635,5345,5635,5345,5635,5345,5635,5315,5605,5315,5605,5315,5315,5315,5315,5605,5605,5345,5345,5345,5345,5635,5635
长*宽*高(mm),5315×1830×1815,5605×1830×1815,5315×1830×1860,5605×1830×1860,5315×1830×1860,5605×1830×1860,5315×1830×1815,5605×1830×1815,5315×1830×1815,5605×1830×1815,5345×1830×1860,5635×1830×1860,5345×1830×1860,5635×1830×1860,5345×1830×1860,5635×1830×1860,5345×1830×1860,5635×1830×1860,5315*1830*1815,5605*1830*1815,5315*1830*1815,5605*1830*1815,5315*1830*1815,5315*1830*1815,5315*1830*1815,5315*1830*1815,5605*1830*1815,5605*1830*1815,5345*1850*1860,5345*1850*1860,5345*1850*1860,5345*1850*1860,5635*1850*1860,5635*1850*1860
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
