Feature,1011996,1011997,1011998,1011999,1012000,1012001,1014531,1014533,1014535,1014537,1015043,1015276,1015277,1015278,1015279,1015280,1015281,1015282,1015283,1015284,1015285,1015286,1015287,1015288,1015289,1015290,1015291,1015292,1015293,1015294,1015295,1015296,1015297,1015298,1015299,1015300,1015301,1015302,1015303,1015304,1015305,1015306,1015307,1015308,1015309,1015310,1015311,1015312,1015313,1015442,1015443,1015444,1015445,1017507,1018017,1018018,1018019,1018034,1019649,1019650,1019651,1019652,1019653,1019654
高度(mm),2407,2407,2407,2407,2407,2407,2061,2061,2061,2061,2395,2040,2040,2400,2400,2040,2040,2395,2395,2030,2030,2395,2395,2030,2030,2390,2390,2020,2020,2020,2375,2375,2040,2400,2040,2395,2030,2030,2395,2030,2030,2390,2390,2020,2020,2020,2020,2375,2375,2375,2375,2375,2375,2375,2375,2030,2030,2375,2375,2375,2375,2375,2375,2375
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,4974,4974,4974,4974,4974,5341,5341,5341,5341,4974,4974,4974,4974,5341,5341,5341,5341,4974,5341,5341,5341,5341,4974,4974,5341,5341,4974,4974,4974,5341,5341,5341,5341,4974,4974,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,4974,4974,5341,5341,5341,5341,5341,5341,5341
长*宽*高(mm),5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2061,5341×2032×2061,5341×2032×2061,5341×2032×2061,4974*1986*2395,4974*1986*2040,4974*1986*2040,4974*1986*2400,4974*1986*2400,5341*1986*2040,5341*1986*2040,5341*1986*2395,5341*1986*2395,4974*1986*2030,4974*1986*2030,4974*1986*2395,4974*1986*2395,5341*1986*2030,5341*1986*2030,5341*1986*2390,5341*1986*2390,4974*2040*2020,5341*2040*2020,5341*2040*2020,5341*2040*2375,5341*2040*2375,4974*1986*2040,4974*1986*2400,5341*1986*2040,5341*1986*2395,4974*1986*2030,4974*1986*2030,4974*1986*2395,5341*1986*2030,5341*1986*2030,5341*1986*2390,5341*1986*2390,4974*2040*2020,4974*2040*2020,5341*2040*2020,5341*2040*2020,5341*2040*2375,5341*2040*2375,5341*2040*2375,5341*2040*2375,5341*2040*2375,5341*2040*2375,5341*2040*2375,5341*2040*2375,4974*1986*2030,4974*1986*2030,5341*2040*2375,5341*2040*2375,5341*2040*2375,5341*2040*2375,5341*2040*2375,5341*2040*2375,5341*2040*2375
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,未知,DOHC,未知,DOHC,未知,未知,未知,未知,未知,DOHC,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,2933,2933,2933,2933,2933,3300,3300,3300,3300,2933,2933,2933,2933,3300,3300,3300,3300,2933,3300,3300,3300,3300,2933,2933,3300,3300,2933,2933,2933,3300,3300,3300,3300,2933,2933,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,2933,2933,3300,3300,3300,3300,3300,3300,3300
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
