Feature,1009867,1009868,1009869,1009870,1009871,1009872,1009873,1009874,1009875,1009876,1009877,1009878,1009879,1009880,1009881,1009882,1009953,1009954,1011819,1011961,1011962,1011963,1011964,1011965,1011966,1011967,1011968,1011969,1011970,1011971,1013912
高度(mm),2215,2025,2215,2215,2240,2240,2625,2240,2240,2215,2215,2215,2240,2240,2240,2215,2240,2240,2480,2480,2480,2480,2480,2480,2480,2480,2480,2480,2480,2480,2485
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4944,4944,4944,4944,5696,5696,5696,5696,5696,4944,4944,4944,5696,5696,5696,4944,5652,5696,4944,4944,4944,4944,5696,5696,5696,5696,5696,5696,5696,5696,5982
长*宽*高(mm),4944×1972×2215,4944×1972×2025,4944×1972×2215,4944×1972×2215,5696×1972×2240,5696×1972×2240,5696×1972×2625,5696×1972×2240,5696×1972×2240,4944×1972×2215,4944×1972×2215,4944×1972×2215,5696×1972×2240,5696×1972×2240,5696×1972×2240,4944×1972×2215,5652×1972×2240,5696×1972×2240,4944×1972×2480,4944×1972×2480,4944×1972×2480,4944×1972×2480,5696×1972×2480,5696×1972×2480,5696×1972×2480,5696×1972×2480,5696×1972×2480,5696×1972×2480,5696×1972×2480,5696×1972×2480,5982×1972×2485
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2835,2835,2835,2835,3570,3570,3570,3570,3570,2835,2835,2835,3570,3570,3570,2835,3570,3570,2835,2835,2835,2835,3570,3570,3570,3570,3570,3570,3570,3570,3570
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,客车,客车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,货车,货车,货车,客车,客车,货车,货车,客车,客车,货车
车身结构_x,货车,客车,客车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,货车,货车,货车,客车,客车,货车,货车,客车,客车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,特顺 2019款 2.8T商运型短轴中顶3座国VI JX493,特顺 2019款 2.8T商运型短轴低顶6座国VI JX493,特顺 2019款 2.8T商运型短轴中顶6座国VI JX493,特顺 2019款 2.8T商运型短轴中顶7座国VI JX493,特顺 2019款 2.8T商运型长轴中顶3座后单胎国VI JX493,特顺 2019款 2.8T商运型长轴中顶6座后单胎国VI JX493,特顺 2019款 2.8T商运型长轴高顶6座后单胎国VI JX493,特顺 2019款 2.8T商运型长轴中顶7座后单胎国VI JX493,特顺 2019款 2.8T商运型长轴中顶8座后单胎国VI JX493,特顺 2019款 2.8T商务型短轴中顶7座国VI JX493,特顺 2019款 2.8T商务型短轴中顶8座国VI JX493,特顺 2019款 2.8T商务型短轴中顶12座国VI JX493,特顺 2019款 2.8T商务型长轴中顶15座国VI JX493,特顺 2019款 2.8T商务型智动挡长轴中顶15座国VI JX493,特顺 2019款 2.8T商运型智动挡长轴中顶6座后单胎国VI JX493,特顺 2019款 2.8T商运型智动挡短轴中顶6座国VI JX493,特顺 2020款 2.8T商务型长轴中顶9座国VI JX493,特顺 2020款 2.8T商务型长轴中顶9座国V JX493,特顺 2021款 2.8T空间王普通款短轴中高顶6座柴油国VI JX493,特顺 2021款 2.8T空间王普通款短轴中高顶3座柴油国VI JX493,特顺 2021款 2.8T空间王金牛款短轴中高顶6座柴油国VI JX493,特顺 2021款 2.8T空间王金牛款短轴中高顶3座柴油国VI JX493,特顺 2021款 2.8T空间王金牛款长轴中高顶后单胎3座柴油国VI JX493,特顺 2021款 2.8T空间王金牛款长轴中高顶后双胎3座柴油国VI JX493,特顺 2021款 2.8T空间王金牛款长轴中高顶后单胎-踏6座柴油国VI JX493,特顺 2021款 2.8T空间王金牛款长轴中高顶后双胎-踏6座柴油国VI JX493,特顺 2021款 2.8T空间王普通款长轴中高顶后单胎3座柴油国VI JX493,特顺 2021款 2.8T空间王普通款长轴中高顶后双胎3座柴油国VI JX493,特顺 2021款 2.8T空间王普通款长轴中高顶后单胎-踏6座柴油国VI JX493,特顺 2021款 2.8T空间王普通款长轴中高顶后双胎-踏6座柴油国VI JX493,特顺 2021款 2.8T空间王加长轴高顶后双胎3座柴油国VI JX493
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
能源类型_x,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,,,,,,,,,,
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,68,68,68,68,68,68,68,68,68,68,68,68
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,122,122,122,122,122,122,122,122,122,122,122,122,122
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,300,300,300,300,300,300,300,300,300,300,300,300,300
最大扭矩(N·m)_x,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,300,300,300,300,300,300,300,300,300,300,300,300,300
最大功率转速(rpm),3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,90,90,90,90,90,90,90,90,90,90,90,90,90
最大功率(kW)_x,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,90,90,90,90,90,90,90,90,90,90,90,90,90
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
