Feature,1006614,1006615,1006640,1006641,1006642,1006643,1006644,1006646,1006647,1006650,1006651,1006652,1006653,1006654,1006655,1006960,1006961,1006962,1006985,1006986,1006987,1006990,1006991,1006992,1006993,1006994,1006995,1006996,1006997,1006998,1007003,1007004,1007005,1007009,1007010,1007011,1007016,1007017
高度(mm),1975,2420,2625,1990,1995,1980,1985,2420,2420,2420,2420,2420,2580,2590,2585,1920,1920,1920,1920,1920,1920,2030,2010,2000,2570,2580,2580,2445,1940,1935,1995,2625,2625,2005,1995,1995,2590,2590
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4950,4930,5620,5740,5210,5190,5160,5190,5205,5225,5190,4930,5240,5230,5020,5175,5140,4880,5175,5140,4880,5190,5160,4950,5240,5230,5020,5020,5190,4950,5550,5280,5390,5740,5210,5150,5280,5220
长*宽*高(mm),4950×1730×1975,4930×1695×2420,5620×1850×2625,5740×1830×1990,5210×1830×1995,5190×1730×1980,5160×1730×1985,5190×1695×2420,5205×1695×2420,5225×1695×2420,5190×1695×2420,4930×1695×2420,5240×1750×2580,5230×1750×2590,5020×1750×2585,5175×1680×1920,5140×1680×1920,4880×1680×1920,5175×1680×1920,5140×1680×1920,4880×1680×1920,5190×1730×2030,5160×1730×2010,4950×1730×2000,5240×1750×2570,5230×1750×2580,5020×1750×2580,5020×1710×2445,5190×1680×1940,4950×1680×1935,5550×1830×1995,5280×1850×2625,5390×1850×2625,5740×1830×2005,5210×1830×1995,5150×1830×1995,5280×1850×2590,5220×1850×2590
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2750,2600,3200,3200,2850,2750,2750,2800,2800,2800,2800,2600,2750,2750,2750,2800,2800,2600,2800,2800,2600,2750,2750,2750,2750,2750,2750,2750,2750,2750,3200,2850,2850,3200,2850,2850,2850,2850
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),2,2,2,4,2,4,2,2,4,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,2,4,2,2,2,4,4,2,2,2,2
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,祥菱M 2018款 1.5L非承载单排后双胎(载货)DAM15L,祥菱M 2018款 1.2L半承载单排后单胎(厢式)4W12M1,祥菱M 2018款 1.5L M2非承载单排后双胎(厢式)DAM15L,祥菱M 2018款 1.5L M2非承载双排后双胎(载货)DAM15L,祥菱M 2018款 1.5L M2非承载排半后双胎(载货)DAM15L,祥菱M 2018款 1.5L非承载双排后双胎(载货)DAM15L,祥菱M 2018款 1.5L非承载排半后双胎(载货)DAM15L,祥菱M 2018款 1.2L半承载排半后单胎(厢式)4W12M1,祥菱M 2018款 1.2L半承载双排后单胎(厢式)4W12M1,祥菱M 2018款 1.5L半承载双排后单胎(厢式)DAM15L,祥菱M 2018款 1.5L半承载排半后单胎(厢式)DAM15L,祥菱M 2018款 1.5L半承载单排后单胎(厢式)DAM15L,祥菱M 2018款 1.5L非承载双排后双胎(厢式)DAM15L,祥菱M 2018款 1.5L非承载排半后双胎(厢式)DAM15L,祥菱M 2018款 1.5L非承载单排后双胎(厢式)DAM15L,祥菱M 2018款 1.5L半承载双排后单胎(载货)DAM15L,祥菱M 2018款 1.5L半承载排半后单胎(载货)DAM15L,祥菱M 2018款 1.5L半承载单排后单胎(载货)DAM15L,祥菱M 2018款 1.2L半承载双排后单胎(载货)4W12M1,祥菱M 2018款 1.2L半承载排半后单胎(载货)4W12M1,祥菱M 2018款 1.2L半承载单排后单胎(载货)4W12M1,祥菱M 2018款 1.5L非承载双排后双胎(载货)双燃料DAM15L,祥菱M 2018款 1.5L非承载排半后双胎(载货)双燃料DAM15L,祥菱M 2018款 1.5L非承载单排后双胎(载货)双燃料DAM15L,祥菱M 2018款 1.5L非承载双排后双胎(厢式)双燃料DAM15L,祥菱M 2018款 1.5L非承载排半后双胎(厢式)双燃料DAM15L,祥菱M 2018款 1.5L非承载单排后双胎(厢式)双燃料DAM15L,祥菱M 2018款 1.2L非承载单排后单胎(厢式)4W12M1,祥菱M 2018款 1.2L非承载双排后单胎(载货)4W12M1,祥菱M 2018款 1.2L非承载单排后单胎(载货)4W12M1,祥菱M 2018款 1.5L M2非承载单排后双胎(载货)DAM15L,祥菱M 2018款 1.5L M2非承载排半后双胎(厢式)DAM15L,祥菱M 2018款 1.5L M2非承载双排后双胎(厢式)DAM15L,祥菱M 2018款 1.5LM2非承载双排后双胎(载货)双燃料DAM15L,祥菱M 2018款 1.5LM2非承载排半后双胎(载货)双燃料DAM15L,祥菱M 2018款 1.5LM2非承载单排后双胎(载货)双燃料DAM15L,祥菱M 2018款 1.5LM2非承载排半后双胎(厢式)双燃料DAM15L,祥菱M 2018款 1.5LM2非承载单排后双胎(厢式)双燃料DAM15L
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3100x1610x360,3050x1560x1570,3700x1710x1700,3100x1710x360,2700x1710x360,2550x1610x360,3050x1610x360,3050x1560x1570,2550x1560x1570,2550x1560x1570,3050x1560x1570,3050x1560x1570,2550x1610x1700,3050x1610x1700,3100x1610x1700,2550x1560x360,3050x1560x360,3050x1560x360,2550x1560x360,3050x1560x360,3050x1560x360,2550x1610x360,3050x1610x360,3100x1610x360,2550x1610x1700,3050x1610x1700,3100x1610x1700,3100x1560x1570,2500x1560x360,3100x1560x360,3700x1710x360,3100x1710x1700,2700x1710x1700,3100x1710x360,3100x1710x360,3300x1710x360,3100x1710x1700,3300x1710x1700
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,未知,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
