Feature,62489,64611,64796,65644,65727
高度(mm),1700,1700,1700,1700,1700
驾驶辅助影像,,,-,,
驾驶模式切换,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-
陡坡缓降,●,●,●,●,●
长度(mm),4605,4605,4605,4605,4605
长*宽*高(mm),4605*1890*1700,4605*1890*1700,4605*1890*1700,4605*1890*1700,4605*1890*1700
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●
道路交通标识识别,○,-,-,○,○
远光灯光源,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,
轴距(mm),2720,2720,2720,2720,2720
轮圈材质,,,,,
转向辅助灯,●,●,-,●,●
车顶行李架,●,●,-,●,●
车门数(个),5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,○,-,-,○,●
车道保持辅助系统,○,-,-,○,○
车载空气净化器,-,-,-,-,-
车载KTV,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,江淮QX 2023款 120km 劲享版,江淮QX 2023款 120km 劲驰版,江淮QX 2023款 120km 劲能版,江淮QX PHEV 2023款 120km 尊贵版,江淮QX PHEV 2023款 120km 旗舰版
车前雾灯,-,-,-,-,-
车内环境氛围灯,-,-,-,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,○,-,-,○,○
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
能量回收系统,●,●,●,●,●
能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
