Feature,66249,66262
高度(mm),1520,1520
驾驶辅助影像,-,-
驾驶模式切换,-,-
驻车制动类型,电子驻车,电子驻车
驱动电机数,单电机,单电机
驱动方式,后置后驱,后置后驱
首任车主质保政策,-,-
陡坡缓降,-,-
长度(mm),5175,5175
长*宽*高(mm),5175*1900*1520,5175*1900*1520
钥匙类型,-,-
远光灯光源,-,-
近光灯光源,-,-
轴距(mm),3105,3105
轮圈材质,-,-
车门数(个),4,4
车门开启方式,平开门,平开门
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车身结构_y,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),-,-
车联网,-,-
车窗防夹手功能,-,-
车窗一键升降功能,-,-
车型名称,宝马i5 2024款 eDrive 35L  豪华套装,宝马i5 2024款 eDrive 35L M运动套装
车前雾灯,-,-
车内环境氛围灯,-,-
车内化妆镜,-,-
车内中控锁,-,-
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
语音识别控制系统,-,-
行车电脑显示屏幕,-,-
蓝牙/车载电话,-,-
自适应远近光,-,-
自动驻车,-,-
自动头灯,-,-
能源类型,纯电动,纯电动
胎压监测功能,-,-
缺气保用轮胎,-,-
级别,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-
空调温度控制方式,-,-
离去角(°),18,18
百公里耗电量(kWh/100km),-,-
疲劳驾驶提示,-,-
电芯品牌,华晨宝马,华晨宝马
电池能量(kWh),79.05,79.05
电池组质保,-,-
电池类型,三元锂电池,三元锂电池
电机类型,他励同步电机,他励同步电机
电机布局,后置,后置
电动机总扭矩(N·m),-,-
电动机总功率(kW),250,250
电动机总功率(Ps),340,340
电动机(Ps),340,340
电动座椅记忆功能,-,-
电动后备厢,-,-
牵引力控制(ASR/TCS/TRC等),-,-
温度分区控制,-,-
液晶仪表尺寸,-,-
最高车速(km/h),190,190
最大满载质量(kg),2802,2802
最大扭矩(N·m),-,-
最大功率(kW),250,250
无钥匙进入功能,-,-
无钥匙启动系统,-,-
方向盘记忆,-,-
方向盘材质,-,-
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,-,-
整车质保,-,-
整备质量(kg),2224,2224
接近角(°),16,16
挡位个数,1,1
扬声器数量,-,-
扬声器品牌名称,-,-
手机无线充电功能,-,-
手机互联/映射,-,-
慢充时间(小时)_y,-,-
慢充时间(小时)_x,-,-
感应雨刷功能,-,-
快充电量百分比,-,-
快充电量(%),-,-
快充时间(小时)_y,-,-
快充时间(小时)_x,-,-
快充功能,-,-
座椅材质,-,-
座位数(个),5,5
并线辅助,-,-
巡航系统,-,-
导航路况信息显示,-,-
宽度(mm),1900,1900
官方0-100km/h加速(s),-,-
安全带未系提醒,-,-
天窗类型,-,-
大灯高度可调,-,-
大灯延时关闭,-,-
多媒体/充电接口,-,-
多功能方向盘,-,-
外后视镜功能,-,-
备胎规格,无,无
四驱形式,-,-
后雨刷,-,-
后轮距(mm),1624,1624
后轮胎规格,275/35 R20,275/35 R20
后电动机最大功率(kW),250,250
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,-,-
后悬架类型,-,-
后座出风口,-,-
后备厢容积(L),-,-
后制动器类型,盘式,盘式
变速箱类型,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),0.00万,0.00万
厂商,华晨宝马,华晨宝马
卫星导航系统,-,-
助力类型,电动助力,电动助力
副驾驶位后排可调节按钮,-,-
副座椅调节方式,-,-
前轮距(mm),1623,1623
前轮胎规格,245/40 R20,245/40 R20
前排座椅功能,-,-
前悬架类型,-,-
前制动器类型,通风盘式,通风盘式
前/后驻车雷达,-,-
前/后电动车窗,-,-
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),-,-
内后视镜功能,-,-
全液晶仪表盘,-,-
主座椅调节方式,-,-
主动刹车/主动安全系统,-,-
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,-,-
中控彩色屏幕,-,-
中控屏幕尺寸,-,-
中央差速器结构,-,-
上市时间,-,-
上坡辅助,-,-
USB/Type-C接口数量,-,-
OTA升级,-,-
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
CLTC纯电续航里程(km)_y,536,536
CLTC纯电续航里程(km)_x,536,536
ABS防抱死,-,-
