Feature,1016356,1016357,1016358,1016359,1016391,1016392,1016393,1016394,1016395,1016396,1016506,1016507,1016508,1016509,1016641,1016642,1016643,1016644,1016645,1016646
高度(mm),1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,,,,,,,-,-,-,-,,,,,,
长度(mm),5365,5680,5365,5680,5365,5680,5680,5680,5365,5680,5365,5680,5365,5680,5365,5680,5680,5365,5680,5680
长*宽*高(mm),5365*1900*1809,5680*1900*1809,5365*1900*1809,5680*1900*1809,5365*1900*1809,5680*1900*1809,5680*1900*1809,5680*1900*1809,5365*1900*1809,5680*1900*1809,5365*1900*1809,5680*1900*1809,5365*1900*1809,5680*1900*1809,5365*1900*1809,5680*1900*1809,5680*1900*1809,5365*1900*1809,5680*1900*1809,5680*1900*1809
钥匙类型,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,
轴距(mm),3155,3470,3155,3470,3155,3470,3470,3470,3155,3470,3155,3470,3155,3470,3155,3470,3470,3155,3470,3470
轮圈材质,,,,,,,,,,,,,,,,,,,,
车顶行李架,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
