Feature,1017057,1017210,1017211,1017212,1017213,1017214,1017215,1017216,1017217
高度(mm),2405,2015,2405,2030,2030,2015,2015,2405,2405
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),5364,5364,5364,4998,4998,5364,5364,5364,5364
长*宽*高(mm),5364*2030*2405,5364*2030*2015,5364*2030*2405,4998*2030*2030,4998*2030*2030,5364*2030*2015,5364*2030*2015,5364*2030*2405,5364*2030*2405
钥匙类型,,,,,,,,,
道路救援呼叫,○,○,○,-,-,-,-,-,-
远光灯光源,,,,,,,,,
近光灯光源,,,,,,,,,
运动外观套件,●,●,●,○,○,○,○,○,○
轴距(mm),3366,3366,3366,3000,3000,3366,3366,3366,3366
轮圈材质,,,,,,,,,
车门数(个),,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-
车型名称,新途EV70 2024款 420km 长轴中顶 客车 9座,新途EV70 2024款 420km 长轴低顶 客车 7座,新途EV70 2024款 420km 长轴中顶 客车 7座,新途EV70 2024款 410km 短轴低顶 多功能车 5座,新途EV70 2024款 410km 短轴低顶 多功能车 6座,新途EV70 2024款 366km 长轴低顶 多功能车 6座,新途EV70 2024款 366km 长轴低顶 多功能车 7座,新途EV70 2024款 366km 长轴中顶 多功能车 6座,新途EV70 2024款 366km 长轴中顶 多功能车 7座
车前雾灯,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,,,,,,,
空调温度控制方式,,,,,,,,,
离去角(°),20,20,20,21,21,20,20,20,20
